C_after_wait,C_post_collision,P_erg,T_period,W_A_fp,abs_C_fp,abs_C_history_max,abs_C_history_min,converged,g,kind,n_iter,regenerates,tau,theta,window
0.14109691053793225,0.13828436623802598,0.00010083332624163943,0.4,4.0333330496655774e-05,0.1382843662175676,0.13905095029773976,0.1341666743768383,1,8.0,stroboscopic,95,1,0.025,0.2,boosted
0.13912452943031228,0.12814217734379818,0.0003991148842195647,0.4,0.00015964595368782588,0.1281421773143316,0.13905095029773976,0.11930480500815203,1,8.0,stroboscopic,85,1,0.05,0.4,boosted
0.11446374987764196,0.08754670480431209,0.0007968953638973001,0.4,0.00031875814555892005,0.08754670478102708,0.13905095029773976,0.08245101870946446,1,8.0,stroboscopic,62,1,0.0875,0.7,boosted
0.0809622576897139,0.04374409451286304,0.0007013648331953352,0.4,0.0002805459332781341,0.04374409450499115,0.13905095029773976,0.04218016319190871,1,8.0,stroboscopic,48,1,0.125,1.0,boosted
0.14102578092086449,0.1382146544711992,7.460592576297638e-05,0.5404267006407084,4.031903430833095e-05,0.13821465444097178,0.13905095029773976,0.13502036169251844,1,8.0,stroboscopic,70,1,0.025,0.2,boosted
0.14204354146000947,0.13083076546778658,0.00031038436420497437,0.5404267006407084,0.0001677399978777583,0.1308307654394996,0.13905095029773976,0.1228319571276732,1,8.0,stroboscopic,66,1,0.05,0.4,boosted
0.12839675136086454,0.09820325213618855,0.0007701975672990528,0.5404267006407084,0.00041623533013692706,0.09820325211406018,0.13905095029773976,0.09144350962829041,1,8.0,stroboscopic,51,1,0.0875,0.7,boosted
0.10208487385165912,0.055156692732635494,0.0008858406994909521,0.5404267006407084,0.0004787319665191525,0.05515669272638216,0.13905095029773976,0.052835605439046536,1,8.0,stroboscopic,39,1,0.125,1.0,boosted
0.14086848485494333,0.13806049386216512,5.512340629959482e-05,0.7301525469135045,4.024849550419707e-05,0.13806049384044866,0.13905095029773976,0.13559657258260083,1,8.0,stroboscopic,53,1,0.025,0.2,boosted
0.1434380727966831,0.13211521389109152,0.00023576289846844942,0.7301525469135045,0.0001721428807844483,0.13211521386627126,0.13905095029773976,0.12527260120237454,1,8.0,stroboscopic,51,1,0.05,0.4,boosted
0.13815611910786046,0.10566762831465282,0.0006837398852657892,0.7301525469135045,0.0004992344186531633,0.10566762829740334,0.13905095029773976,0.09826194259020969,1,8.0,stroboscopic,42,1,0.0875,0.7,boosted
