Delta,I,J_Q_L,J_Q_R,P1,P_el,T_L,T_R,V,abs_C,epsilon,min_eig,mu_L,mu_R,p_L,p_R,positive,score,theta_R
0.2,0.21942705453463907,0.3047425137302688,-0.1730862810094852,0.338362126478418,0.13165623272078344,2.0,0.25,-0.6,0.042270014554485175,1.0,0.12674158789878484,-0.3,0.3,0.9,0.9,1,0.026740698031411467,0.6
0.1,0.21926164499895576,0.29480750891149365,-0.16325052191212025,0.3405293684102336,0.13155698699937346,2.0,0.25,-0.6,0.041028540463427576,1.0,0.12922737050562083,-0.3,0.3,0.9,0.9,1,0.026652336130815447,0.6
0.05,0.21892636623037776,0.28948758770583416,-0.15813176796760745,0.3417635613996472,0.13135581973822666,2.0,0.25,-0.6,0.040269100900478735,1.0,0.13048097479797327,-0.3,0.3,0.9,0.9,1,0.026566684864609818,0.6
0.2,0.22627136907726186,0.3093607801121997,-0.17359795866584246,0.33604387754370146,0.13576282144635712,2.0,0.25,-0.6,0.033858451983354666,1.0,0.13381776874362508,-0.3,0.3,0.7,0.7,1,0.02654379388620603,0.6
0.1,0.2272195468139891,0.3030497789318541,-0.1667180508434607,0.3357175918455767,0.13633172808839344,2.0,0.25,-0.6,0.03192999980901238,1.0,0.13589500202804336,-0.3,0.3,0.7,0.7,1,0.02642490359031688,0.6
0.2,0.22469429641717062,0.30156525082412805,-0.16674867297382578,0.33472703291779127,0.13481657785030238,2.0,0.25,-0.6,0.03401181696576969,1.0,0.13315057819596174,-0.3,0.3,0.5,0.5,1,0.026334529654743925,0.9
0.05,0.22733702635519207,0.29937939654080725,-0.16297718072769202,0.33588959620788766,0.13640221581311524,2.0,0.25,-0.6,0.030877999177560258,1.0,0.1367233671083937,-0.3,0.3,0.7,0.7,1,0.026324061414281463,0.6
0.2,0.2135737117620666,0.29105831695778306,-0.16291408990054326,0.33600535448057367,0.12814422705723996,2.0,0.25,-0.6,0.045527963410796575,1.0,0.12165465918036299,-0.3,0.3,0.7,0.7,1,0.026303229021066184,0.9
0.1,0.21434766072337383,0.2854805410356069,-0.15687194460158266,0.3373305471683108,0.12860859643402428,2.0,0.25,-0.6,0.043801724880246945,1.0,0.12298228861160475,-0.3,0.3,0.7,0.7,1,0.026254497334584695,0.9
0.1,0.22579157630147084,0.298399798640553,-0.16292485285967057,0.3349298051666742,0.1354749457808825,2.0,0.25,-0.6,0.03180816051860499,1.0,0.13452244154919593,-0.3,0.3,0.5,0.5,1,0.02622030089904036,0.9
